m_phi,θ_squared,N_phi
0.0292403,2.12493e-05,0.000574486
0.0292403,2.04782e-05,0.00055364
0.0292403,1.97351e-05,0.00053355
0.0292403,1.9019e-05,0.00051419
0.0292403,1.83289e-05,0.000495532
0.0292403,1.76638e-05,0.000477551
0.0292403,1.70228e-05,0.000460222
0.0292403,1.64052e-05,0.000443522
0.0292403,1.58099e-05,0.000427428
0.0292403,1.52362e-05,0.000411919
0.0292403,1.46833e-05,0.000396972
0.0292403,1.41505e-05,0.000382567
0.0292403,1.3637e-05,0.000368685
0.0292403,1.31422e-05,0.000355307
0.0292403,1.26653e-05,0.000342414
0.0292403,1.22057e-05,0.000329989
0.0292403,1.17628e-05,0.000318015
0.0292403,1.1336e-05,0.000306475
0.0292403,1.09247e-05,0.000295354
0.0292403,1.05283e-05,0.000284637
0.0292403,1.01462e-05,0.000274309
0.0292403,9.77805e-06,0.000264355
0.0292403,9.42324e-06,0.000254763
0.0292403,9.08131e-06,0.000245518
0.0292403,8.75178e-06,0.000236609
0.0292403,8.43421e-06,0.000228023
0.0292403,8.12816e-06,0.000219749
0.0292403,7.83322e-06,0.000211775
0.0292403,7.54898e-06,0.000204091
0.0292403,7.27506e-06,0.000196685
0.0292403,7.01107e-06,0.000189548
0.0292403,6.75667e-06,0.00018267
0.0292403,6.51149e-06,0.000176042
0.0292403,6.27521e-06,0.000169654
0.0292403,6.04751e-06,0.000163498
0.0292403,5.82807e-06,0.000157565
0.0292403,5.61659e-06,0.000151848
0.0292403,5.41278e-06,0.000146338
0.0292403,5.21637e-06,0.000141027
0.0292403,5.02709e-06,0.00013591
0.0292403,4.84468e-06,0.000130978
0.0292403,4.66888e-06,0.000126226
0.0292403,4.49946e-06,0.000121645
0.0292403,4.33619e-06,0.000117231
0.0292403,4.17885e-06,0.000112977
0.0292403,4.02721e-06,0.000108878
0.0292403,3.88108e-06,0.000104927
0.0292403,3.74025e-06,0.00010112
0.0292403,3.60453e-06,9.74505e-05
0.0292403,3.47374e-06,9.39143e-05
0.0292403,3.34769e-06,9.05065e-05
0.0292403,3.22621e-06,8.72224e-05
0.0292403,3.10914e-06,8.40574e-05
0.0292403,2.99632e-06,8.10073e-05
0.0292403,2.8876e-06,7.80678e-05
0.0292403,2.78282e-06,7.5235e-05
0.0292403,2.68184e-06,7.2505e-05
0.0292403,2.58453e-06,6.98741e-05
0.0292403,2.49074e-06,6.73386e-05
0.0292403,2.40036e-06,6.48951e-05
0.0292403,2.31326e-06,6.25403e-05
0.0292403,2.22932e-06,6.0271e-05
0.0292403,2.14843e-06,5.80839e-05
0.0292403,2.07047e-06,5.59763e-05
0.0292403,1.99534e-06,5.39451e-05
0.0292403,1.92294e-06,5.19876e-05
0.0292403,1.85316e-06,5.01012e-05
0.0292403,1.78592e-06,4.82832e-05
0.0292403,1.72111e-06,4.65312e-05
0.0292403,1.65866e-06,4.48427e-05
0.0292403,1.59847e-06,4.32156e-05
0.0292403,1.54047e-06,4.16474e-05
0.0292403,1.48457e-06,4.01362e-05
0.0292403,1.4307e-06,3.86798e-05
0.0292403,1.37879e-06,3.72763e-05
0.0292403,1.32876e-06,3.59236e-05
0.0292403,1.28054e-06,3.46201e-05
0.0292403,1.23407e-06,3.33639e-05
0.0292403,1.18929e-06,3.21532e-05
0.0292403,1.14614e-06,3.09865e-05
0.0292403,1.10455e-06,2.98621e-05
0.0292403,1.06447e-06,2.87785e-05
0.0292403,1.02584e-06,2.77342e-05
0.0292403,9.8862e-07,2.67279e-05
0.0292403,9.52746e-07,2.5758e-05
0.0292403,9.18175e-07,2.48233e-05
0.0292403,8.84857e-07,2.39226e-05
0.0292403,8.52749e-07,2.30545e-05
0.0292403,8.21806e-07,2.2218e-05
0.0292403,7.91986e-07,2.14118e-05
0.0292403,7.63247e-07,2.06348e-05
0.0292403,7.35552e-07,1.9886e-05
0.0292403,7.08861e-07,1.91645e-05
0.0292403,6.83139e-07,1.8469e-05
0.0292403,6.58351e-07,1.77989e-05
0.0292403,6.34462e-07,1.7153e-05
0.0292403,6.11439e-07,1.65306e-05
0.0292403,5.89252e-07,1.59308e-05
0.0292403,5.67871e-07,1.53527e-05
0.0292403,5.47265e-07,1.47956e-05
0.0292403,5.27406e-07,1.42587e-05
0.0292403,5.08269e-07,1.37413e-05
0.0292403,4.89826e-07,1.32427e-05
0.0292403,4.72052e-07,1.27622e-05
0.0292403,4.54923e-07,1.22991e-05
0.0292403,4.38415e-07,1.18528e-05
0.0292403,4.22507e-07,1.14227e-05
0.0292403,4.07175e-07,1.10082e-05
0.0292403,3.02946e-07,8.19032e-06
0.0292403,2.91953e-07,7.89312e-06
0.0292403,2.8136e-07,7.60671e-06
0.0292403,2.7115e-07,7.33069e-06
0.0292403,2.61311e-07,7.06469e-06
0.0292403,2.33885e-07,6.3232e-06
0.0292403,2.17219e-07,5.87263e-06
0.0292403,2.09337e-07,5.65954e-06
0.0292403,2.01741e-07,5.45417e-06
0.0294258,0.000795131,0.0214956
0.0294258,0.000766279,0.0207156
0.0294258,0.000738473,0.0199639
0.0294258,0.000711677,0.0192395
0.0294258,0.000685853,0.0185413
0.0294258,0.000660966,0.0178685
0.0294258,0.000636982,0.0172202
0.0294258,0.000613868,0.0165953
0.0294258,0.000591593,0.0159931
0.0294258,0.000570126,0.0154128
0.0294258,0.000549438,0.0148535
0.0294258,0.000529501,0.0143145
0.0294258,0.000510288,0.0137951
0.0294258,0.000491771,0.0132945
0.0294258,0.000473927,0.0128121
0.0294258,0.00045673,0.0123472
0.0294258,0.000440156,0.0118992
0.0294258,0.000424185,0.0114674
0.0294258,0.000408793,0.0110513
0.0294258,0.000393959,0.0106503
0.0294258,0.000379664,0.0102638
