m_phi_low,m_phi_high,m_H5,sin_theta_H,N_phi_GM
0.0297890532,0.0445593107,0.0426596463,0.0096833904,0.0000072644
0.0297890532,0.0445593107,0.0364389760,0.3569699401,0.0100124765
0.0297890532,0.0445593107,0.0433049290,0.1705758527,0.0022697354
0.0297890532,0.0445593107,0.0361967976,0.0157855716,0.0000194906
0.0297890532,0.0445593107,0.0312094355,0.0216588029,0.0000368986
0.0297890532,0.0445593107,0.0300092668,0.0208416945,0.0000341939
0.0297890532,0.0445593107,0.0375935189,0.4222377992,0.0139938458
0.0297890532,0.0445593107,0.0361283330,0.4665823639,0.0171114681
0.0297890532,0.0445593107,0.0389262850,0.0711686477,0.0003966747
0.0297890532,0.0445593107,0.0323167798,0.0252831090,0.0000502624
0.0297890532,0.0445593107,0.0338431587,0.0149305761,0.0000174678
0.0297890532,0.0445593107,0.0410823885,0.0621768900,0.0003020591
0.0297890532,0.0445593107,0.0307122348,0.4338095886,0.0148600919
0.0297890532,0.0445593107,0.0382306700,0.2014435629,0.0031825031
0.0297890532,0.0445593107,0.0315288019,0.1260965444,0.0012541530
0.0297890532,0.0445593107,0.0433371035,0.1410906283,0.0015526721
0.0297890532,0.0445593107,0.0363370739,0.4270340454,0.0143305500
0.0297890532,0.0445593107,0.0353629351,0.0111651029,0.0000097378
0.0297890532,0.0445593107,0.0344021139,0.2163034746,0.0036824613
0.0297890532,0.0445593107,0.0349917624,0.0160741143,0.0000202334
0.0297890532,0.0445593107,0.0338971646,0.4323201728,0.0147196479
0.0297890532,0.0445593107,0.0417574495,0.0116703124,0.0000105761
0.0297890532,0.0445593107,0.0389658452,0.0641607482,0.0003223493
0.0297890532,0.0445593107,0.0422422313,0.3187224395,0.0079352926
0.0297890532,0.0445593107,0.0397279371,0.0146574080,0.0000167409
0.0297890532,0.0445593107,0.0429199386,0.0141460598,0.0000155381
0.0297890532,0.0445593107,0.0428335227,0.1257488493,0.0012339651
0.0297890532,0.0445593107,0.0418563644,0.0736527633,0.0004235859
0.0297890532,0.0445593107,0.0402205024,0.2525287262,0.0049917628
0.0297890532,0.0445593107,0.0379332115,0.1406362954,0.0015513485
0.0297890532,0.0445593107,0.0437647053,0.0083483156,0.0000053859
0.0297890532,0.0445593107,0.0413441310,0.1924542755,0.0028955939
0.0297890532,0.0445593107,0.0340365010,0.0267355683,0.0000561316
0.0297890532,0.0445593107,0.0357219687,0.0339228188,0.0000902892
0.0297890532,0.0445593107,0.0424687422,0.0475863125,0.0001765997
