m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00564716,8.3449e-13,1.5498e-13,2.07931e-09,0.446417,0.978871,0.992783,4.18879e+18,1.3807e+08,2.03064e+53
0.00529102,1.30131e-10,2.4221e-11,2.59656e-08,0.446417,0.981033,0.322529,4.18879e+18,883735,1.03101e+55
0.052682,8.82619e-10,8.42511e-11,6.76232e-08,0.446417,0.503122,0.00613436,4.18879e+18,196337,6.82101e+53
0.0864968,4.63573e-12,2.2173e-13,4.90082e-09,0.446417,0.252103,0.9795,4.18879e+18,4.82954e+07,2.86638e+53
0.00491055,5.00542e-10,9.33755e-11,5.09249e-08,0.446417,0.983249,0.0127663,4.18879e+18,229308,1.57327e+54
0.00203992,2.71136e-11,5.12441e-12,1.18523e-08,0.446417,0.996157,0.787466,4.18879e+18,4.18525e+06,5.32574e+54
0.0062889,2.4025e-12,4.44321e-13,3.5281e-09,0.446417,0.974773,0.979437,4.18879e+18,4.81283e+07,5.7435e+53
0.00445714,3.19607e-11,5.97744e-12,1.28682e-08,0.446417,0.985756,0.756489,4.18879e+18,3.58336e+06,5.96789e+54
0.0574908,2.19806e-12,1.91554e-13,3.37465e-09,0.446417,0.459329,0.987892,4.18879e+18,8.2101e+07,2.4975e+53
0.014396,2.40406e-11,4.13627e-12,1.11605e-08,0.446417,0.906848,0.821826,4.18879e+18,5.0962e+06,4.48635e+54
0.141439,9.67175e-10,1.2581e-11,7.07884e-08,0.446417,0.0685618,0.0391696,4.18879e+18,308948,6.50381e+53
0.0019012,1.46174e-12,2.76378e-13,2.75198e-09,0.446417,0.996561,0.987197,4.18879e+18,7.76034e+07,3.6009e+53
0.00316092,5.51864e-13,1.03869e-13,1.69093e-09,0.446417,0.992034,0.995166,4.18879e+18,2.06382e+08,1.36423e+53
0.036831,7.06645e-13,8.90732e-14,1.91342e-09,0.446417,0.664381,0.99531,4.18879e+18,2.12728e+08,1.17006e+53
0.00185885,6.16113e-12,1.16505e-12,5.64988e-09,0.446417,0.996679,0.94713,4.18879e+18,1.84097e+07,1.45632e+54
0.00111159,8.70489e-13,1.64878e-13,2.12369e-09,0.446417,0.998325,0.992344,4.18879e+18,1.30108e+08,2.15938e+53
0.0296825,6.91051e-10,9.74189e-11,5.98363e-08,0.446417,0.743026,0.00733423,4.18879e+18,203457,9.42978e+53
0.0012631,1.84334e-11,3.49051e-12,9.77264e-09,0.446417,0.998058,0.849831,4.18879e+18,6.14563e+06,3.91495e+54
0.0786837,1.5294e-11,8.66321e-13,8.90164e-09,0.446417,0.298558,0.930467,4.18879e+18,1.38793e+07,1.06386e+54
0.0338481,3.99121e-10,5.27759e-11,4.54738e-08,0.446417,0.696951,0.0652123,4.18879e+18,366302,4.54222e+54
0.0322358,6.39142e-10,8.66692e-11,5.75451e-08,0.446417,0.714725,0.0118144,4.18879e+18,225314,1.35139e+54
0.0281906,2.995e-11,4.3163e-12,1.24568e-08,0.446417,0.759602,0.805717,4.18879e+18,4.62928e+06,4.58985e+54
0.00215711,1.3287e-12,2.51031e-13,2.62376e-09,0.446417,0.995796,0.988363,4.18879e+18,8.5432e+07,3.27452e+53
0.00989249,1.96386e-11,3.53116e-12,1.00871e-08,0.446417,0.947714,0.847095,4.18879e+18,6.02622e+06,3.94778e+54
0.0132438,5.69774e-11,9.92234e-12,1.71815e-08,0.446417,0.917874,0.62537,4.18879e+18,2.13034e+06,8.18945e+54
0.0141958,7.93523e-11,1.3682e-11,2.02763e-08,0.446417,0.908788,0.522696,4.18879e+18,1.54142e+06,9.43852e+54
0.00160589,3.49959e-11,6.62192e-12,1.34654e-08,0.446417,0.997329,0.734387,4.18879e+18,3.23919e+06,6.41819e+54
0.00248475,1.63024e-10,3.07659e-11,2.90626e-08,0.446417,0.994693,0.238175,4.18879e+18,696986,9.67096e+54
0.0931559,5.20445e-11,2.1471e-12,1.64209e-08,0.446417,0.217445,0.800267,4.18879e+18,4.48985e+06,2.26773e+54
0.0326336,1.13894e-11,1.53493e-12,7.68174e-09,0.446417,0.710331,0.924227,4.18879e+18,1.26912e+07,1.87229e+54
0.00110238,5.1488e-13,9.75244e-14,1.63329e-09,0.446417,0.99834,0.995464,4.18879e+18,2.19966e+08,1.28128e+53
0.00304432,2.90028e-11,5.46149e-12,1.22583e-08,0.446417,0.992526,0.775104,4.18879e+18,3.9253e+06,5.58695e+54
0.0368074,3.34221e-12,4.2145e-13,4.16127e-09,0.446417,0.664636,0.978006,4.18879e+18,4.49674e+07,5.43991e+53
0.0738995,2.93725e-10,1.84066e-11,3.90104e-08,0.446417,0.330296,0.238737,4.18879e+18,698297,5.7996e+54
0.00515306,5.84839e-13,1.08945e-13,1.74072e-09,0.446417,0.981848,0.994924,4.18879e+18,1.96497e+08,1.43055e+53
0.0062531,7.10247e-12,1.31385e-12,6.06616e-09,0.446417,0.975009,0.940412,4.18879e+18,1.62767e+07,1.63068e+54
0.0163264,6.92031e-13,1.16551e-13,1.89353e-09,0.446417,0.88769,0.994457,4.18879e+18,1.79917e+08,1.5297e+53
0.00269013,1.80628e-10,3.40623e-11,3.05916e-08,0.446417,0.993937,0.204209,4.18879e+18,629480,9.18019e+54
0.00241537,4.63262e-10,8.74483e-11,4.89917e-08,0.446417,0.994938,0.0169415,4.18879e+18,245219,1.95527e+54
0.0146693,6.71658e-13,1.15222e-13,1.86545e-09,0.446417,0.904185,0.994545,4.18879e+18,1.82818e+08,1.51239e+53
0.109387,9.11765e-11,2.58973e-12,2.17346e-08,0.446417,0.149707,0.701126,4.18879e+18,2.81789e+06,2.39637e+54
0.180836,3.12323e-11,1.46527e-13,1.27207e-08,0.446417,0.0247278,0.910856,4.18879e+18,1.07272e+07,1.76145e+53
0.0213837,1.01825e-10,1.61225e-11,2.29687e-08,0.446417,0.834547,0.45742,4.18879e+18,1.27854e+06,9.73312e+54
0.00236832,1.06944e-11,2.01907e-12,7.44368e-09,0.446417,0.9951,0.910143,4.18879e+18,1.06209e+07,2.4253e+54
0.00766891,7.95183e-11,1.45611e-11,2.02975e-08,0.446417,0.965161,0.505593,4.18879e+18,1.46623e+06,9.71628e+54
0.0319325,5.37973e-11,7.32928e-12,1.66951e-08,0.446417,0.718078,0.687529,4.18879e+18,2.66925e+06,6.65052e+54
0.0446423,3.32873e-11,3.67555e-12,1.31325e-08,0.446417,0.581989,0.813695,4.18879e+18,4.85076e+06,3.94718e+54
0.0014267,1.97506e-10,3.73871e-11,3.19889e-08,0.446417,0.997732,0.175005,4.18879e+18,573744,8.6353e+54
0.00710845,1.73725e-10,3.19447e-11,3.00013e-08,0.446417,0.969189,0.224203,4.18879e+18,668806,9.45242e+54
