m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.320073,2.13466e-07,2.00775e-11,1.05166e-06,0.446417,0.000495739,0.608526,4.18879e+18,2.02e+06,1.61247e+55
0.192076,6.20498e-07,2.15587e-09,1.793e-06,0.446417,0.0183128,0.608526,4.18879e+18,2.02e+06,1.73143e+57
0.142607,3.15922e-07,3.99049e-09,1.27938e-06,0.446417,0.066576,0.608526,4.18879e+18,2.02e+06,3.20486e+57
0.00385215,1.83454e-12,3.44185e-13,3.083e-09,0.446417,0.98886,0.608526,4.18879e+18,2.02e+06,2.76423e+53
0.0010711,1.08258e-10,2.05065e-11,2.36832e-08,0.446417,0.998391,0.608526,4.18879e+18,2.02e+06,1.64692e+55
0.0098065,3.55684e-12,6.40027e-13,4.29281e-09,0.446417,0.948428,0.608526,4.18879e+18,2.02e+06,5.14021e+53
0.0795925,3.09452e-09,1.71917e-10,1.26621e-07,0.446417,0.292818,0.608526,4.18879e+18,2.02e+06,1.38071e+56
0.00501274,1.19124e-12,2.22092e-13,2.48433e-09,0.446417,0.982663,0.608526,4.18879e+18,2.02e+06,1.78367e+53
0.0447865,2.75093e-11,3.02987e-12,1.19385e-08,0.446417,0.580518,0.608526,4.18879e+18,2.02e+06,2.43336e+54
0.149916,4.25643e-08,4.46763e-10,4.69604e-07,0.446417,0.0553227,0.608526,4.18879e+18,2.02e+06,3.58806e+56
0.0381448,9.6407e-08,1.18928e-08,7.06747e-07,0.446417,0.650199,0.608526,4.18879e+18,2.02e+06,9.55138e+57
0.0395891,3.71652e-08,4.47573e-09,4.38811e-07,0.446417,0.634744,0.608526,4.18879e+18,2.02e+06,3.59456e+57
0.00166259,2.34849e-08,4.4432e-09,3.48822e-07,0.446417,0.997191,0.608526,4.18879e+18,2.02e+06,3.56844e+57
0.011041,1.36925e-08,2.43653e-09,2.66348e-07,0.446417,0.93791,0.608526,4.18879e+18,2.02e+06,1.95683e+57
0.0160009,7.35854e-12,1.2439e-12,6.17455e-09,0.446417,0.890974,0.608526,4.18879e+18,2.02e+06,9.99006e+53
0.00174947,9.72566e-12,1.83963e-12,7.09854e-09,0.446417,0.996971,0.608526,4.18879e+18,2.02e+06,1.47745e+54
0.00464087,8.57357e-07,1.60184e-07,2.10761e-06,0.446417,0.984758,0.608526,4.18879e+18,2.02e+06,1.28648e+59
0.0351097,7.87175e-11,1.02023e-11,2.01951e-08,0.446417,0.683119,0.608526,4.18879e+18,2.02e+06,8.19368e+54
0.164342,6.95164e-11,5.03211e-13,1.89781e-08,0.446417,0.0381535,0.608526,4.18879e+18,2.02e+06,4.04141e+53
0.0640276,1.55401e-07,1.1915e-08,8.97298e-07,0.446417,0.404122,0.608526,4.18879e+18,2.02e+06,9.56925e+57
0.053269,2.62362e-07,2.47708e-08,1.1659e-06,0.446417,0.497635,0.608526,4.18879e+18,2.02e+06,1.9894e+58
0.0377607,8.64987e-10,1.07383e-10,6.69444e-08,0.446417,0.654333,0.608526,4.18879e+18,2.02e+06,8.62422e+55
0.070762,4.87591e-07,3.26118e-08,1.58941e-06,0.446417,0.352526,0.608526,4.18879e+18,2.02e+06,2.61913e+58
0.0509619,7.18716e-07,7.0828e-08,1.92969e-06,0.446417,0.51942,0.608526,4.18879e+18,2.02e+06,5.68837e+58
0.0027786,8.13427e-11,1.53341e-11,2.0529e-08,0.446417,0.993597,0.608526,4.18879e+18,2.02e+06,1.23152e+55
0.00104908,4.48494e-09,8.49574e-10,1.52436e-07,0.446417,0.998425,0.608526,4.18879e+18,2.02e+06,6.82313e+56
0.00130791,3.38851e-10,6.41588e-11,4.19e-08,0.446417,0.997973,0.608526,4.18879e+18,2.02e+06,5.15275e+55
0.0336444,5.34428e-12,7.08947e-13,5.26204e-09,0.446417,0.699191,0.608526,4.18879e+18,2.02e+06,5.69373e+53
0.0397429,1.16943e-12,1.40469e-13,2.46148e-09,0.446417,0.633108,0.608526,4.18879e+18,2.02e+06,1.12814e+53
0.0777436,8.9362e-12,5.16418e-13,6.80434e-09,0.446417,0.304593,0.608526,4.18879e+18,2.02e+06,4.14747e+53
0.00114029,1.23703e-12,2.34294e-13,2.53163e-09,0.446417,0.998277,0.608526,4.18879e+18,2.02e+06,1.88167e+53
0.0130759,1.34835e-12,2.35212e-13,2.64308e-09,0.446417,0.919452,0.608526,4.18879e+18,2.02e+06,1.88904e+53
0.00773969,1.04505e-07,1.91264e-08,7.35833e-07,0.446417,0.964641,0.608526,4.18879e+18,2.02e+06,1.53609e+58
0.223306,3.33246e-07,4.93948e-10,1.31399e-06,0.446417,0.00781245,0.608526,4.18879e+18,2.02e+06,3.96701e+56
0.00328515,1.90288e-10,3.57956e-11,3.13989e-08,0.446417,0.991495,0.608526,4.18879e+18,2.02e+06,2.87483e+55
0.00116211,1.66615e-09,3.15558e-10,9.2911e-08,0.446417,0.99824,0.608526,4.18879e+18,2.02e+06,2.53432e+56
0.0295484,5.29215e-09,7.4754e-10,1.65587e-07,0.446417,0.744515,0.608526,4.18879e+18,2.02e+06,6.00368e+56
0.00617044,5.16014e-11,9.55078e-12,1.63508e-08,0.446417,0.975549,0.608526,4.18879e+18,2.02e+06,7.67046e+54
0.0145659,4.46852e-08,7.67423e-09,4.81162e-07,0.446417,0.905195,0.608526,4.18879e+18,2.02e+06,6.16335e+57
0.00119607,4.75626e-08,9.00748e-09,4.96412e-07,0.446417,0.99818,0.608526,4.18879e+18,2.02e+06,7.23412e+57
0.00899046,3.61523e-09,6.55077e-10,1.3686e-07,0.446417,0.955054,0.608526,4.18879e+18,2.02e+06,5.26108e+56
0.00440779,2.49901e-11,4.67501e-12,1.13787e-08,0.446417,0.98602,0.608526,4.18879e+18,2.02e+06,3.75461e+54
0.0837423,1.34574e-10,6.83609e-12,2.64053e-08,0.446417,0.267742,0.608526,4.18879e+18,2.02e+06,5.49023e+54
