m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0307312,7.12982e-13,9.89359e-14,1.92198e-09,0.446417,0.731386,0.994535,4.18879e+18,2.91337e+11,1.82486e+08,1.29861e+53
0.0258063,5.11732e-12,7.63179e-13,5.14909e-09,0.446417,0.786058,0.961429,4.18879e+18,1.08746e+11,2.54253e+07,9.68383e+53
0.0254302,1.19315e-10,1.78884e-11,2.48632e-08,0.446417,0.79022,0.399669,4.18879e+18,2.2521e+10,1.09047e+06,9.43574e+54
0.00216909,6.72344e-10,1.27021e-10,5.90208e-08,0.446417,0.995758,0.00569846,4.18879e+18,9.48723e+09,193516,9.5529e+53
0.00522432,5.50496e-10,1.02504e-10,5.34056e-08,0.446417,0.981429,0.0145364,4.18879e+18,1.04847e+10,236349,1.96653e+54
0.152653,2.73048e-10,2.6725e-12,3.76122e-08,0.446417,0.0515882,0.12247,4.18879e+18,1.48873e+10,476508,4.31967e+53
0.0111159,4.5531e-13,8.09643e-14,1.5359e-09,0.446417,0.937254,0.996507,4.18879e+18,3.6457e+11,2.8576e+08,1.06482e+53
0.0163483,1.37633e-12,2.31742e-13,2.67037e-09,0.446417,0.887467,0.989477,4.18879e+18,2.09688e+11,9.45333e+07,3.02632e+53
0.0337328,1.4061e-12,1.86267e-13,2.69909e-09,0.446417,0.698218,0.98925,4.18879e+18,2.07457e+11,9.25322e+07,2.4319e+53
0.00144641,1.00033e-09,1.8935e-10,7.19913e-08,0.446417,0.99769,0.000458128,4.18879e+18,7.77794e+09,130067,1.14487e+53
0.00751869,4.57524e-11,8.38755e-12,1.53963e-08,0.446417,0.966256,0.703523,4.18879e+18,3.63687e+10,2.84377e+06,7.78784e+54
0.0941042,2.17085e-10,8.7669e-12,3.3537e-08,0.446417,0.212857,0.188424,4.18879e+18,1.66963e+10,599349,2.18015e+54
0.0444998,9.75772e-13,1.08013e-13,2.24845e-09,0.446417,0.583446,0.992527,4.18879e+18,2.49035e+11,1.3334e+08,1.41489e+53
0.0273676,7.94872e-13,1.15933e-13,2.02936e-09,0.446417,0.768743,0.993909,4.18879e+18,2.75922e+11,1.63686e+08,1.52075e+53
0.210511,1.64476e-10,3.46607e-13,2.91918e-08,0.446417,0.0111072,0.282132,4.18879e+18,1.91815e+10,791053,1.29061e+53
0.0143408,1.40473e-10,2.41831e-11,2.69778e-08,0.446417,0.907384,0.339695,4.18879e+18,2.07558e+10,926224,1.08419e+55
0.00268505,6.82905e-13,1.28782e-13,1.881e-09,0.446417,0.993956,0.994765,4.18879e+18,2.97684e+11,1.90523e+08,1.69076e+53
0.0701228,3.59629e-10,2.43718e-11,4.31655e-08,0.446417,0.357194,0.0629915,4.18879e+18,1.2972e+10,361788,2.02616e+54
0.0494848,6.30125e-10,6.38016e-11,5.71377e-08,0.446417,0.533674,0.00787628,4.18879e+18,9.7999e+09,206482,6.63218e+53
0.00178481,2.63874e-10,4.99077e-11,3.6975e-08,0.446417,0.996878,0.131585,4.18879e+18,1.51439e+10,493074,8.66717e+54
0.0252592,9.10686e-12,1.36862e-12,6.86901e-09,0.446417,0.79211,0.932394,4.18879e+18,8.15175e+10,1.4287e+07,1.68417e+54
0.0253496,5.82112e-11,8.73721e-12,1.73665e-08,0.446417,0.791111,0.639261,4.18879e+18,3.22427e+10,2.23513e+06,7.37148e+54
0.041787,5.90032e-12,6.84579e-13,5.52901e-09,0.446417,0.611532,0.955658,4.18879e+18,1.01274e+11,2.20512e+07,8.63434e+53
0.0266506,1.80141e-11,2.65458e-12,9.66086e-09,0.446417,0.776701,0.870692,4.18879e+18,5.79601e+10,7.22264e+06,3.05045e+54
0.00124587,8.72672e-11,1.65253e-11,2.12635e-08,0.446417,0.99809,0.511339,4.18879e+18,2.63336e+10,1.49093e+06,1.11522e+55
0.00121996,4.20072e-13,7.95505e-14,1.47527e-09,0.446417,0.998137,0.996777,4.18879e+18,3.79554e+11,3.09731e+08,1.04651e+53
0.00711153,5.75924e-11,1.05899e-11,1.7274e-08,0.446417,0.969168,0.642328,4.18879e+18,3.24155e+10,2.25914e+06,8.97745e+54
0.152015,1.01252e-11,1.00733e-13,7.24287e-09,0.446417,0.0524371,0.925086,4.18879e+18,7.73097e+10,1.28501e+07,1.22986e+53
0.00192327,1.11493e-10,2.10791e-11,2.40344e-08,0.446417,0.996498,0.424467,4.18879e+18,2.32976e+10,1.16698e+06,1.18086e+55
0.00193101,7.31372e-11,1.38272e-11,1.94661e-08,0.446417,0.996476,0.569997,4.18879e+18,2.87651e+10,1.77898e+06,1.04018e+55
0.0734514,3.74119e-10,2.36651e-11,4.40265e-08,0.446417,0.333402,0.056349,4.18879e+18,1.27183e+10,347775,1.75994e+54
0.0984432,8.3843e-12,3.06876e-13,6.59087e-09,0.446417,0.192916,0.93757,4.18879e+18,8.49575e+10,1.55182e+07,3.79726e+53
0.00655283,1.51201e-11,2.79129e-12,8.8509e-09,0.446417,0.973017,0.890285,4.18879e+18,6.32641e+10,8.60505e+06,3.27972e+54
0.00330437,1.63509e-10,3.07555e-11,2.91058e-08,0.446417,0.99141,0.284587,4.18879e+18,1.92382e+10,795733,1.15516e+55
0.0264254,1.9976e-11,2.95315e-12,1.01734e-08,0.446417,0.779198,0.85766,4.18879e+18,5.50403e+10,6.51328e+06,3.34276e+54
0.00184198,7.09148e-10,1.34104e-10,6.06147e-08,0.446417,0.996725,0.00429449,4.18879e+18,9.23776e+09,183473,7.60075e+53
0.00127038,9.74909e-10,1.84605e-10,7.10709e-08,0.446417,0.998044,0.000556963,4.18879e+18,7.87867e+09,133458,1.35698e+53
0.027831,1.89812e-12,2.74989e-13,3.13596e-09,0.446417,0.763597,0.985516,4.18879e+18,1.78556e+11,6.85466e+07,3.5767e+53
